Date,Open,High,Low,Close,Adj Close,Volume
1996-05-16,19.862968,20.153080,19.615408,19.746923,12.953066,317762715
1996-05-17,19.340769,19.572857,19.247932,19.356239,12.696794,260880925
1996-05-20,19.108679,19.139624,18.690918,18.748940,12.298433,150502036
1996-05-21,18.636765,18.876589,18.528456,18.683182,12.255298,210555235
1996-05-22,18.876589,18.969425,18.725731,18.783754,12.321272,147373929
1996-05-23,18.659973,18.737335,18.536192,18.629026,12.219777,135998347
1996-05-24,18.806961,18.861116,18.706390,18.803095,12.846292,109273710
1996-05-27,18.644501,18.644501,18.219004,18.249949,12.468378,178076562
1996-05-28,17.870869,17.870869,17.449242,17.658121,12.064046,251769989
1996-05-29,18.029465,18.915272,18.029465,18.663841,12.751150,237508017
1996-05-30,18.799227,18.853380,18.203529,18.323442,12.518592,243719637
1996-05-31,18.586477,18.605818,18.265421,18.439487,12.597873,205805553
1996-06-03,18.799227,19.069998,18.683182,19.004238,12.983709,225656109
1996-06-04,19.336901,19.452944,18.393070,18.733467,12.798716,331911584
1996-06-05,18.953953,18.953953,18.447224,18.613556,12.716794,154048948
1996-06-06,18.872721,19.263405,18.799227,18.919140,12.925573,152774438
1996-06-07,18.652237,18.992634,18.625158,18.903666,12.914996,103358097
1996-06-10,18.837908,18.915272,18.644501,18.733467,12.798716,83777696
1996-06-11,18.644501,18.760546,18.482038,18.586477,12.698298,113388076
1996-06-12,18.876589,19.066130,18.729599,18.868853,12.891212,92464011
1996-06-13,18.837908,18.942348,18.733467,18.795359,12.841002,53970839
1996-06-14,18.876589,19.031315,18.814699,18.992634,12.975782,56612280
1996-06-17,19.050655,19.050655,18.687050,18.733467,12.798716,49769869
1996-06-18,18.644501,18.644501,18.033333,18.253817,12.471020,88215860
1996-06-19,18.257685,18.335049,17.565285,17.708406,12.098398,110408618
1996-06-20,17.561417,17.812847,17.368010,17.735483,12.116899,131363060
1996-06-21,17.631044,17.747087,17.143656,17.244228,11.781270,162938202
1996-06-24,17.104975,17.251965,16.834204,17.097239,11.680847,141955323
1996-06-25,17.174603,17.251965,16.400970,16.737499,11.435072,161155698
1996-06-26,16.841940,16.841940,16.335213,16.416445,11.215730,136660807
1996-06-27,16.265587,16.865149,16.064442,16.710423,11.416574,248655454
1996-06-28,16.865149,17.155260,16.366158,16.524752,11.289721,350497324
1996-07-01,16.327477,16.841940,15.975474,16.149542,11.033381,255440991
1996-07-02,16.161144,16.315872,15.704703,15.809143,10.800818,262167715
1996-07-03,15.588659,15.623472,14.582939,14.749269,10.076712,297888892
1996-07-04,14.486235,15.147689,14.250277,14.695115,10.039711,372326861
1996-07-05,14.834369,14.969754,14.277355,14.474630,9.889079,274724739
1996-07-08,14.772478,16.014156,14.432081,14.586807,9.965715,160540417
1996-07-09,14.470762,16.014156,13.306448,13.871198,9.476813,250056639
1996-07-10,13.383811,13.921484,13.314184,13.635241,9.315607,221504258
1996-07-11,13.809308,14.118760,13.581087,13.670054,9.339392,211480095
1996-07-12,13.577219,13.612032,13.039545,13.159458,8.990553,317962422
1996-07-15,13.074359,14.544257,12.850006,13.890539,9.490026,668662040
1996-07-16,15.472614,16.799391,15.472614,16.776182,11.461498,396249127
1996-07-17,16.168882,17.716143,15.905847,17.074030,11.664989,514784362
1996-07-18,17.325460,17.928892,17.325460,17.897945,12.227891,391626120
1996-07-19,18.060410,18.795359,18.060410,18.783754,12.833077,181625412
1996-07-22,18.180323,19.162832,17.360273,18.505245,12.642797,187198485
1996-07-23,19.186043,19.433603,18.284761,18.663841,12.751150,225213391
1996-07-24,18.184191,18.184191,16.799391,16.845810,11.509072,206647686
1996-07-25,16.694950,16.942513,16.006418,16.087650,10.991096,273956285
1996-07-26,16.014156,16.354553,15.658285,16.095387,10.996381,246477412
1996-07-29,16.312002,16.884489,16.215300,16.416445,11.215730,204151663
1996-07-30,16.176619,16.246244,15.596395,15.983210,10.919743,190109434
1996-07-31,16.091518,16.768444,15.302415,16.540224,11.300293,193652468
1996-08-01,16.861280,17.019875,16.137936,16.238508,11.094161,264780072
1996-08-02,16.184355,16.358421,15.898111,16.018024,10.943526,167979367
1996-08-05,15.983210,16.083782,15.708571,15.770462,10.774392,105914226
1996-08-06,15.704703,16.207563,15.561582,15.932924,10.885386,152612862
1996-08-07,15.994815,16.362289,15.898111,16.288794,11.128517,141167479
1996-08-08,16.393234,16.493807,15.898111,15.971606,10.911815,132457251
1996-08-09,15.998683,16.199827,15.859429,16.099255,10.999024,109835994
1996-08-12,16.168882,16.288794,16.021893,16.095387,10.996381,89253176
1996-08-13,16.052837,16.319740,15.998683,16.188223,11.059807,90655654
1996-08-14,15.909715,16.207563,15.909715,15.967738,10.909173,79389943
1996-08-15,15.967738,15.967738,15.967738,15.967738,10.909173,0
1996-08-16,15.975474,16.083782,15.824616,15.967738,10.909173,69769074
1996-08-19,15.898111,15.936792,15.170898,15.259866,10.425552,103804046
1996-08-20,15.105139,15.743385,15.020040,15.426196,10.539190,162500655
1996-08-21,15.843957,16.199827,15.743385,16.199827,11.067732,142519546
1996-08-22,16.710423,16.822599,16.219168,16.315872,11.147017,216770733
1996-08-23,16.323608,16.691082,16.246244,16.513147,11.281795,161606818
1996-08-26,16.362289,16.509279,16.122463,16.188223,11.059807,128940716
1996-08-27,16.168882,16.265587,15.936792,16.056705,10.969954,139282213
1996-08-28,16.091518,16.536356,16.091518,16.505411,11.276511,79331130
1996-08-29,16.551828,16.590509,16.315872,16.350685,11.170799,80394945
1996-08-30,16.331345,16.416445,16.253981,16.366158,11.181372,56429377
1996-09-02,16.408707,16.513147,16.331345,16.455126,11.242153,54505978
1996-09-03,16.513147,16.625324,15.944529,16.041233,10.959380,127423842
1996-09-04,15.956133,16.099255,15.867166,16.060574,10.972597,62615791
1996-09-05,16.126331,16.342949,16.126331,16.300400,11.136447,66237674
1996-09-06,16.366158,16.389366,16.099255,16.165014,11.043950,51619588
1996-09-09,16.161144,16.168882,15.975474,16.041233,10.959380,49866814
1996-09-10,16.025761,16.025761,15.801407,15.898111,10.861603,66720462
1996-09-11,15.867166,16.083782,15.635076,15.727912,10.745321,57561053
1996-09-12,15.627340,15.720176,15.356569,15.611868,10.666040,125382170
1996-09-13,15.700835,15.731780,15.437801,15.476482,10.573547,83967063
1996-09-16,15.399119,15.399119,14.807292,14.923336,10.195635,96549939
1996-09-17,14.934941,15.317888,14.915600,15.147689,10.348912,81795484
1996-09-18,15.085799,16.052837,15.066458,15.886506,10.853674,94075891
1996-09-19,15.932924,16.056705,15.240525,15.314020,10.462549,113446890
1996-09-20,15.286943,15.546109,15.163162,15.228920,10.404412,73409700
1996-09-23,15.167030,15.240525,14.865314,15.031645,10.269630,75263298
1996-09-24,15.085799,15.310152,15.047117,15.147689,10.348912,60971595
1996-09-25,15.310152,15.549977,15.201843,15.255997,10.422909,68373059
1996-09-26,15.178634,15.232789,14.892391,15.016172,10.259060,60711781
1996-09-27,15.004567,15.004567,14.478499,14.555862,9.944575,119136943
1996-09-30,14.466894,14.845973,14.343113,14.780215,10.097853,114795724
1996-10-01,14.853709,14.919468,14.586807,14.741533,10.071424,85942811
1996-10-02,14.741533,14.741533,14.741533,14.741533,10.071424,0
1996-10-03,14.892391,15.078062,14.567466,14.675774,10.026501,70454802
1996-10-04,14.757006,14.873050,14.408872,14.753137,10.079355,83112003
1996-10-07,14.787951,14.787951,13.964034,14.466894,9.883794,125587049
1996-10-08,14.397267,14.698983,14.045265,14.528785,9.926078,90780391
1996-10-09,14.698983,14.853709,14.486235,14.718324,10.055570,80927499
1996-10-10,14.675774,15.163162,14.606148,15.112876,10.325128,89742428
1996-10-11,15.182503,15.356569,14.938809,15.093535,10.311915,100743801
1996-10-14,14.950413,15.008436,14.586807,14.648697,10.008000,74612470
1996-10-15,14.555862,14.815028,14.370190,14.606148,9.978932,74857419
1996-10-16,14.857578,14.927204,14.532653,14.582939,9.963076,64287131
1996-10-17,14.509444,15.085799,14.377927,14.958150,10.219419,129531437
1996-10-18,15.047117,15.317888,14.838237,15.070326,10.296059,207410324
1996-10-21,15.070326,15.070326,15.070326,15.070326,10.296059,0
1996-10-22,15.182503,15.898111,15.182503,15.607999,10.663397,186726683
1996-10-23,16.416445,16.609852,16.168882,16.517015,11.284438,148330458
1996-10-24,16.629192,17.089502,16.137936,16.300400,11.136447,306758110
1996-10-25,16.242376,16.652401,16.211432,16.551828,11.308221,141765956
1996-10-28,16.633060,16.710423,16.284925,16.366158,11.181372,91797672
1996-10-29,16.288794,16.710423,15.940661,16.110859,11.006949,117861140
1996-10-30,16.110859,16.110859,16.110859,16.110859,11.006949,0
1996-10-31,15.824616,15.824616,15.441669,15.627340,10.676611,80743949
1996-11-01,15.739517,16.710423,15.120612,15.221184,10.399124,81491721
1996-11-04,15.085799,15.085799,14.451421,14.598411,9.973645,101463136
1996-11-05,14.555862,14.749269,14.234805,14.323772,9.786013,79213503
1996-11-06,14.014320,14.331509,13.627505,14.153574,9.669732,173114892
1996-11-07,14.343113,14.416608,14.157442,14.350849,9.804511,91237973
1996-11-08,14.428213,14.551993,13.964034,14.478499,9.891722,72198528
1996-11-11,14.138101,14.385663,13.987243,14.192255,9.696160,74077331
1996-11-12,14.192255,14.192255,14.192255,14.192255,9.696160,0
1996-11-13,14.080079,14.524916,14.080079,14.443685,9.867937,42263057
1996-11-14,14.389531,14.466894,14.184519,14.254146,9.738442,36465071
1996-11-15,14.207728,14.536521,14.161310,14.435949,9.862651,41352416
1996-11-18,14.505576,14.869182,14.505576,14.830501,10.132210,74090904
